major_id,name,domain,description,core_subjects,interests_keywords,skills,acquired_skills,career_paths,job_sectors,study_duration_years,min_highschool_gpa,track_requirement,,,,automation_risk_score,holy_quran,islamic_education,arabic_language,english_language,mathematics,physics,chemistry,biology
14,الصيدلة,الطب والعلوم الصحية,تخصص يجمع بين العلوم الصحية والكيميائية لضمان الاستخدام الآمن والفعال للأدوية. يشمل تصنيع وتوزيع ومراقبة الأدوية.,الكيمياء الدوائية;علم الأدوية;الصيدلانيات;التحاليل الدوائية;التداخلات الدوائية;إدارة الصيدلة,الكيمياء;الأدوية;الصحة;الدقة;البحث العلمي,الدقة العلمية;التحليل;التواصل;الإدارة;الالتزام,تركيب الأدوية;تحليل التفاعلات الدوائية;إدارة الصيدلية;توعية المرضى;مراقبة الجودة,صيدلي;باحث دوائي;مسؤول جودة;مندوب طبي;أخصائي تراخيص,الصيدليات;شركات الأدوية;المستشفيات;مراكز البحث;الهيئات التنظيمية,5,85,علمي,,,,50,5,5,5,10,5,5,35,30
15,الصيدلة السريرية,العلوم الصحية,"تخصص صيدلاني متقدم يركز على الاستخدام الأمثل للأدوية في الرعاية الصحية المباشرة، ومراقبة العلاج الدوائي، وضمان السلامة الدوائية للمرضى.",العلاج الدوائي;الحركة الدوائية;المراقبة السريرية;التفاعلات الدوائية;السموم السريرية;ممارسة الصيدلة السريرية,الأدوية;الرعاية الصحية;المرضى;العلاج;السلامة,التحليل الدقيق;اتخاذ القرار;التواصل مع الفريق الطبي;الاهتمام بالتفاصيل,مراقبة العلاج الدوائي;تحليل التفاعلات الدوائية;تعديل الجرعات;الإشراف على السلامة الدوائية;التثقيف الدوائي,صيدلي سريري;أخصائي علاج دوائي;مسؤول سلامة دوائية;باحث سريري;استشاري دوائي,المستشفيات;المراكز الطبية;الشركات الدوائية;مراكز البحث;الهيئات التنظيمية,5,85,علمي,,,,45,5,5,5,10,5,5,35,30
16,الطب البشري,الطب والعلوم الصحية,تخصص طبي يشمل تشخيص وعلاج الأمراض والإصابات والوقاية منها. يتطلب دراسة عميقة لجسم الإنسان والأمراض والأدوية والمهارات السريرية.,علم التشريح;علم وظائف الأعضاء;علم الأدوية;علم الأمراض;الباطنية;الجراحة,الطب;علوم الحياة;مساعدة الآخرين;التشخيص;البحث العلمي,الملاحظة الدقيقة;التفكير النقدي;التواصل الفعال;العمل تحت الضغط;اتخاذ القرارات,التشخيص الطبي;الفحص السريري;وصف العلاج;الإجراءات الطبية الأساسية;قراءة الفحوصات,طبيب عام;أخصائي;جراح;طبيب أطفال;استشاري,المستشفيات الحكومية;المستشفيات الخاصة;المراكز الصحية;العيادات;القطاع الأكاديمي,7,95,علمي,,,,29,5,5,5,10,5,5,20,45
17,العلاج الطبيعي,العلوم الصحية,تخصص صحي يركز على تشخيص وعلاج اضطرابات الجهاز الحركي وتحسين الوظيفة الجسدية باستخدام وسائل طبيعية مثل التمارين والعلاج اليدوي.,علم التشريح الوظيفي;الفيزيولوجيا المرضية;الميكانيكا الحيوية;تقنيات العلاج الطبيعي;إعادة التأهيل;التقييم السريري,الطب;التأهيل;الرياضة;مساعدة الآخرين;الجسد البشري,التواصل الفعال;الملاحظة الدقيقة;التعاطف;المهارات العملية,تقييم الحالات المرضية;تصميم برامج العلاج;تنفيذ التقنيات العلاجية;متابعة تقدم المرضى;التعامل مع مختلف الإصابات,أخصائي علاج طبيعي;أخصائي إعادة تأهيل;معالج رياضي;استشاري علاج طبيعي;باحث في التأهيل,المستشفيات;مراكز التأهيل;العيادات الخاصة;المراكز الرياضية;الرعاية المنزلية,5,80,علمي,,,,45,5,5,5,10,5,5,10,25
18,الفيزياء التطبيقية,العلوم الطبيعية والهندسة,تخصص يركز على تطبيق المبادئ الفيزيائية في حل المشكلات التقنية وتطوير التقنيات الحديثة في مختلف المجالات الصناعية والبحثية.,الميكانيكا التطبيقية;الكهرومغناطيسية;البصريات التطبيقية;فيزياء المواد;الإلكترونيات;الفيزياء الحديثة,الفيزياء;التقنية;الابتكار;البحث;التطبيقات,التفكير التحليلي;التجريب;الرياضيات;حل المشكلات,تحليل الظواهر الفيزيائية;تصميم التجارب;تطوير التقنيات;النمذجة الرياضية;البحث العلمي,باحث فيزيائي;مهندس تطبيقي;أخصائي تقني;مطور تقنيات;أستاذ فيزياء,المراكز البحثية;القطاع الصناعي;الجامعات;شركات التكنولوجيا;القطاع الصحي,4,85,علمي,,,,45,0,0,5,10,35,40,5,0
19,القانون,العلوم القانونية,تخصص يركز على دراسة القواعد والقوانين المنظمة لسلوك الأفراد والمؤسسات في المجتمع وحل المنازعات.,القانون المدني;القانون الجنائي;القانون الدستوري;القانون التجاري;القانون الدولي;أصول المحاكمات,العدالة;القانون;التحليل;النقاش;الحقوق,التحليل المنطقي;الحجاج القانوني;البحث العلمي;التواصل,تفسير النصوص القانونية;صياغة المذكرات;الترافع أمام المحاكم;التحكيم;الاستشارة القانونية,محامي;قاضي;مستشار قانوني;باحث قانوني;كاتب عدل,المحاكم;مكاتب المحاماة;الجهات الحكومية;القطاع المصرفي;الاستشارات القانونية,4,75,جميع المسارات,,,,45,10,20,10,25,0,0,0,0
20,القانون التجاري,العلوم القانونية,تخصص يركز على دراسة القواعد القانونية المنظمة للأعمال التجارية والشركات والعقود التجارية وحل المنازعات التجارية.,قانون الشركات;قانون العقود;قانون المنافسة;قانون الإفلاس;القانون المصرفي;التحكيم التجاري,القانون;الأعمال;العقود;المنازعات;التحليل,التفكير التحليلي;الصياغة القانونية;التفاوض;حل النزاعات,صياغة العقود;التحكيم التجاري;الاستشارة القانونية;تحليل القضايا;التقاضي التجاري,محامي تجاري;مستشار قانوني;محكم;باحث قانوني;مدير الشؤون القانونية,مكاتب المحاماة;الشركات;البنوك;الغرف التجارية;الجهات الحكومية,4,75,جميع المسارات,,,,29,10,20,10,25,0,0,0,0
21,القانون الجنائي,العلوم القانونية,تخصص يركز على دراسة الجرائم والعقوبات والإجراءات الجنائية ونظم العدالة الجنائية.,القانون الجنائي العام;القانون الجنائي الخاص;أصول المحاكمات الجنائية;علم الإجرام;العقوبات والإجراءات;الطب الشرعي,العدالة;التحقيق;الجريمة;القضاء;الأمن,التحليل الدقيق;الملاحظة;التفكير النقدي;الحفظ والاستدعاء,تحقيق جنائي;تحليل القضايا;صياغة لوائح الاتهام;الترافع الجنائي;الاستشارة الجنائية,محامي جنائي;قاضي جنائي;محقق جنائي;نيابة عامة;مستشار أمني,المحاكم الجنائية;النيابة العامة;جهات إنفاذ القانون;مكاتب المحاماة;الاستشارات الأمنية,4,75,جميع المسارات,,,,50,10,20,10,25,0,0,0,0
22,القانون الدولي,العلوم القانونية,تخصص يركز على دراسة القواعد والمعاهدات والاتفاقيات التي تحكم العلاقات بين الدول والمنظمات الدولية.,القانون الدولي العام;القانون الدبلوماسي;قانون المنظمات الدولية;القانون الدولي الإنساني;قانون البحار;تسوية المنازعات الدولية,العلاقات الدولية;الدبلوماسية;المنظمات الدولية;حقوق الإنسان;السياسة,التحليل السياسي;البحث القانوني;التفاوض;إتقان اللغات,صياغة المعاهدات;التمثيل الدبلوماسي;تحليل النزاعات الدولية;العمل في المنظمات الدولية;الاستشارة القانونية الدولية,دبلوماسي;محامي دولي;مستشار قانوني دولي;باحث في العلاقات الدولية;موظف في منظمات دولية,الوزارات الحكومية;المنظمات الدولية;السفارات;الاستشارات القانونية;مراكز البحث,4,75,جميع المسارات,,,,50,10,20,10,25,0,0,0,0
23,القانون المدني,العلوم القانونية,تخصص يركز على دراسة القواعد المنظمة للعلاقات بين الأفراد والمعاملات المدنية والعقود والالتزامات.,القانون المدني;قانون العقود;قانون الالتزامات;قانون الملكية;قانون الأسرة;قوق المعاملات المدنية,المعاملات;العقود;العدالة;التحليل;التفاصيل,الدقة;التحليل المنطقي;الصياغة القانونية;الاهتمام بالتفاصيل,صياغة العقود;التحكيم التجاري;التسوية الودية;الاستشارة المدنية;الترافع المدني,محامي مدني;محكم;مستشار عقود;قاضي مدني;باحث قانوني,المحاكم المدنية;مكاتب المحاماة;الشركات التجارية;الاستشارات القانونية;الجهات الحكومية,4,75,جميع المسارات,,,,0,10,20,10,25,0,0,0,0
24,الكيمياء التطبيقية,العلوم الكيميائية,تخصص يركز على تطبيق المبادئ الكيميائية في الصناعات المختلفة وتطوير المنتجات والعمليات الكيميائية العملية.,كيمياء الصناعية;تحليل الآلات;كيمياء المواد;التقنيات المخبرية;ضبط الجودة;سلامة العمليات,الكيمياء;الصناعة;التجارب;التطبيقات;الابتكار,التفكير العلمي;الدقة المخبرية;التحليل;حل المشكلات,إجراء التحاليل الكيميائية;تطوير العمليات;مراقبة الجودة;إدارة المختبرات;تصميم التجارب,كيميائي تطبيقي;أخصائي جودة;باحث صناعي;مشرف مختبر;تقني كيميائي,الصناعات الكيميائية;مصانع الأدوية;مختبرات الجودة;مراكز البحث;الشركات الصناعية,4,75,علمي,,,,22,0,0,5,10,20,5,50,0
25,الكيمياء الحيوية,العلوم الطبية والكيميائية,تخصص يدرس العمليات الكيميائية في الكائنات الحية ويركز على فهم الآليات الجزيئية للخلايا والأنظمة البيولوجية.,كيمياء البروتينات;الأيض;الإنزيمات;الكيمياء الجزيئية;الوراثة الكيميائية;التقنيات الحيوية,الطب;الأحياء;البحث;الجزيئات;التجارب,البحث العلمي;التحليل المخبري;الدقة;التفكير النقدي,تحليل العينات البيولوجية;إجراء التجارب;استخدام الأجهزة المتقدمة;تحليل البيانات;إعداد التقارير العلمية,باحث كيميائي حيوي;أخصائي مختبرات;باحث طبي;أستاذ جامعي;عالم أدوية,المستشفيات;مراكز البحث;الجامعات;شركات الأدوية;المختبرات الطبية,4,80,علمي,,,,22,0,0,5,10,15,5,40,20
26,المحاسبة,الإدارة والأعمال,تخصص يركز على تسجيل وتصنيف وتحليل المعاملات المالية وتقديم التقارير المالية للجهات المعنية.,المحاسبة المالية;محاسبة التكاليف;المحاسبة الإدارية;المراجعة;الضرائب;النظم المحاسبية,الأرقام;الدقة;التحليل;المالية;التنظيم,الدقة والتنظيم;التحليل المالي;الانتباه للتفاصيل;الالتزام بالمواعيد,إعداد القوائم المالية;تحليل التكاليف;المراجعة المحاسبية;التخطيط الضريبي;استخدام البرامج المحاسبية,محاسب;مراجع حسابات;محاسب تكاليف;محاسب إداري;مدير مالي,مكاتب المحاسبة;الشركات;البنوك;القطاع الحكومي;الاستشارات المالية,4,75,جميع المسارات,,,,37,0,0,5,20,25,0,0,0
27,المختبرات الطبية,الطب والعلوم الصحية,تخصص يركز على إجراء التحاليل المخبرية والتشخيصية للمساعدة في تشخيص الأمراض ومراقبة العلاج.,علم الأحياء الدقيقة;الكيمياء الحيوية;علم الأمراض;علم الدم;المناعة;تقنيات المختبر,المختبر;التحاليل;البحث;الدقة;العلوم,الدقة المخبرية;التحليل;الملاحظة;تنفيذ البروتوكولات;التسجيل,إجراء التحاليل;تحليل العينات;تشغيل الأجهزة;ضمان الجودة;تفسير النتائج,أخصائي مختبر;فني مختبر;باحث;مسؤول جودة;مشرف مختبر,المستشفيات;المختبرات;مراكز البحث;الصناعة الدوائية;المراكز الصحية,4,80,علمي,,,,22,5,5,5,10,5,5,30,25
28,الهندسة البيئية,الهندسة والعلوم البيئية,تخصص هندسي يركز على حماية البيئة من خلال تصميم وتطوير أنظمة معالجة التلوث وإدارة الموارد الطبيعية بشكل مستدام.,هندسة معالجة المياه;إدارة النفايات;هندسة الهواء;التقييم البيئي;الاستدامة;القوانين البيئية,البيئة;الاستدامة;التلوث;الحلول;الطبيعة,التفكير التحليلي;التصميم الهندسي;حل المشكلات;التخطيط,تصميم أنظمة المعالجة;إدارة المشاريع البيئية;التقييم البيئي;مراقبة الجودة;تحليل البيانات البيئية,مهندس بيئي;أخصائي سلامة بيئية;مدير مشاريع بيئية;استشاري بيئي;باحث في الاستدامة,الوزارات البيئية;الشركات الصناعية;الاستشارات البيئية;المؤسسات الحكومية;منظمات البيئة,5,75,علمي,,,,37,0,0,5,10,25,10,20,10
29,الهندسة الصناعية,الهندسة والتكنولوجيا,تخصص يركز على تحسين وتطوير النظم الصناعية والعمليات الإنتاجية لزيادة الكفاءة والإنتاجية.,بحوث العمليات;هندسة العوامل البشرية;إدارة الجودة;التخطيط والإنتاج;التحسين المستمر;هندسة النظم,التصنيع;الكفاءة;التنظيم;التحسين;الإدارة,التفكير التحليلي;حل المشكلات;التخطيط;إدارة العمليات,تحسين العمليات;إدارة الجودة;تخطيط الإنتاج;تحليل البيانات;إدارة المشاريع,مهندس صناعي;مهندس جودة;مهندس إنتاج;مهندس تحسين;مدير عمليات,القطاع الصناعي;شركات التصنيع;الخدمات اللوجستية;الاستشارات الإدارية;القطاع الحكومي,5,80,علمي,,,,37,0,0,5,10,35,15,5,0
30,الهندسة الطبية الحيوية,الهندسة والطب,تخصص يجمع بين الهندسة والعلوم الطبية لتطوير الأجهزة والتقنيات الطبية وأطراف الاصطناعية وأنظمة التشخيص.,فسيولوجيا الإنسان;الإلكترونيات الطبية;هندسة الأجهزة الطبية;الميكانيكا الحيوية;معالجة الإشارات الطبية;المواد الحيوية,الطب;التقنية;الابتكار;التصميم;البحث,التفكير التحليلي;التصميم الهندسي;البحث العلمي;حل المشكلات,تصميم الأجهزة الطبية;صيانة المعدات الطبية;تحليل الإشارات الحيوية;تطوير التقنيات الطبية;إجراء البحوث الطبية,مهندس طبي;باحث طبي;أخصائي أجهزة طبية;مطور تقنيات طبية;مهندس صيانة طبية,المستشفيات;شركات الأجهزة الطبية;المراكز البحثية;القطاع الصحي;الجامعات,5,85,علمي,,,,37,0,0,5,10,25,20,20,10
31,الهندسة الكهربائية,الهندسة والتكنولوجيا,تخصص يركز على تصميم وتطوير الأنظمة الكهربائية والإلكترونية وأنظمة الطاقة والتحكم الآلي.,الدوائر الكهربائية;الإلكترونيات;الآلات الكهربائية;نظم القدرة;نظم التحكم;معالجة الإشارات,الكهرباء;الإلكترونيات;الطاقة;التحكم;الابتكار,التفكير التحليلي;التصميم التقني;حل المشكلات;الدقة,تصميم الدوائر;تحليل الأنظمة;صيانة المعدات;برمجة المتحكمات;إدارة مشاريع الطاقة,مهندس كهرباء;مهندس تحكم;مهندس طاقة;مهندس إلكترونيات;مهندس صيانة,شركات الكهرباء;القطاع الصناعي;شركات الاتصالات;القطاع الحكومي;الاستشارات الهندسية,5,80,علمي,,,,50,0,0,5,10,35,30,5,0
32,الهندسة الكيميائية,الهندسة والتكنولوجيا,تخصص يركز على تصميم وتطوير العمليات الكيميائية والصناعات التحويلية وإدارة المصانع الكيميائية.,التحويلات الكيميائية;عمليات الانتقال;ديناميكا التفاعلات;تصميم المفاعلات;عمليات الفصل;التحكم في العمليات,الكيمياء;العمليات;التصنيع;التحليل;الابتكار,التفكير التحليلي;التصميم العملياتي;حل المشكلات;إدارة المخاطر,تصميم المصانع;تحسين العمليات;مراقبة الجودة;إدارة الإنتاج;السلامة الصناعية,مهندس عمليات;مهندس تصميم;مهندس إنتاج;مهندس جودة;مدير مصنع,الصناعات البتروكيماوية;الأدوية;المنظفات;الغذاء والدواء;الاستشارات الهندسية,5,80,علمي,,,,0,0,0,5,10,25,15,35,0
33,الهندسة المدنية,الهندسة والتكنولوجيا,تخصص يركز على تصميم وتنفيذ وإدارة المشاريع الإنشائية والبنية التحتية مثل الطرق والجسور والمباني والأنظمة المائية.,ميكانيكا المواد;هندسة الإنشاءات;هندسة الجيوتقنية;هندسة النقل;هندسة الموارد المائية;إدارة المشاريع الهندسية,التصميم;البناء;الرياضيات;الفيزياء;التخطيط,التفكير التحليلي;التصميم الهندسي;إدارة المشاريع;حل المشكلات,تصميم المنشآت;قراءة المخططات;استخدام برامج CAD;إدارة مواقع البناء;مراقبة الجودة,مهندس تصميم إنشائي;مهندس موقع;مهندس طرق وجسور;مهندس مشاريع;مدير إنشاءات,القطاع الحكومي;شركات المقاولات;المكاتب الاستشارية;الشركات الصناعية;القطاع العقاري,5,80,علمي,,,,50,0,0,5,10,30,25,10,0
34,الهندسة المعمارية,الهندسة والتصميم,تخصص يجمع بين الفن والهندسة لتصميم المباني والفراغات المعمارية مع مراعاة الجوانب الجمالية والوظيفية والبيئية والإنشائية.,التصميم المعماري;نظرية العمارة;مواد البناء;التصميم بالحاسوب;التخطيط العمراني;الإنشاءات المعمارية,التصميم;الإبداع;الفن;الرسم;العمارة,التفكير الإبداعي;التصميم;التخطيط;التواصل البصري,التصميم المعماري;استخدام برامج التصميم;إعداد المخططات;تقديم العروض;إعداد النماذج,مهندس معماري;مصمم داخلي;مخطط حضري;رسام معماري;استشاري تصميم,المكاتب المعمارية;شركات المقاولات;القطاع الحكومي;الاستشارات الهندسية;القطاع العقاري,5,80,علمي,,,,50,0,0,10,15,20,15,5,0
